index,Concurso,Data do Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Cidade / UF,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada,Observação
0,1,11/03/1996,4,5,30,33,41,52,0,NaN,"R$0,00",17,"R$39.158,92",2016,"R$330,21","R$1.714.650,23","R$0,00","R$0,00","R$0,00",NaN
1,2,18/03/1996,9,37,39,41,43,49,1,PR,"R$2.307.162,23",65,"R$14.424,02",4488,"R$208,91","R$0,00","R$0,00","R$0,00","R$0,00",NaN
2,3,25/03/1996,10,11,29,30,36,47,2,RN; SP,"R$391.192,51",62,"R$10.515,93",4261,"R$153,01","R$0,00","R$0,00","R$0,00","R$0,00",NaN
3,4,01/04/1996,1,5,6,27,42,59,0,NaN,"R$0,00",39,"R$15.322,24",3311,"R$180,48","R$717.080,75","R$0,00","R$0,00","R$0,00",NaN
4,5,08/04/1996,1,2,6,16,19,46,0,NaN,"R$0,00",98,"R$5.318,10",5399,"R$96,53","R$1.342.488,85","R$0,00","R$0,00","R$0,00",NaN
5,6,15/04/1996,7,13,19,22,40,47,0,NaN,"R$0,00",109,"R$7.214,66",7147,"R$110,03","R$2.286.166,33","R$0,00","R$0,00","R$0,00",NaN
6,7,22/04/1996,3,5,20,21,38,56,0,NaN,"R$0,00",100,"R$8.746,05",5736,"R$152,48","R$3.335.692,28","R$0,00","R$0,00","R$0,00",NaN
7,8,29/04/1996,4,17,37,38,47,53,0,NaN,"R$0,00",60,"R$16.084,11",5262,"R$183,40","R$4.493.748,19","R$0,00","R$0,00","R$0,00",NaN
8,9,06/05/1996,8,43,54,55,56,60,0,NaN,"R$0,00",17,"R$60.043,79",2175,"R$469,31","R$5.718.641,49","R$0,00","R$0,00","R$0,00",NaN
9,10,13/05/1996,4,18,21,25,38,57,0,NaN,"R$0,00",251,"R$6.638,45",12590,"R$132,35","R$13.334.769,81","R$0,00","R$0,00","R$0,00",NaN
10,11,20/05/1996,15,25,37,38,58,59,1,RJ,"R$15.591.365,07",148,"R$12.706,05",9442,"R$199,16","R$0,00","R$0,00","R$0,00","R$0,00",NaN
11,12,27/05/1996,4,16,19,20,27,43,0,NaN,"R$0,00",108,"R$6.791,17",6454,"R$113,64","R$880.136,24","R$0,00","R$0,00","R$0,00",NaN
12,13,03/06/1996,18,32,47,50,54,56,0,NaN,"R$0,00",43,"R$20.543,98",2934,"R$301,09","R$1.940.205,35","R$0,00","R$0,00","R$0,00",NaN
13,14,10/06/1996,2,16,23,27,47,53,0,NaN,"R$0,00",85,"R$10.458,19",5323,"R$167,00","R$3.006.941,32","R$0,00","R$0,00","R$0,00",NaN
14,15,17/06/1996,12,33,35,51,52,60,0,NaN,"R$0,00",57,"R$17.919,89",3931,"R$259,84","R$4.232.661,35","R$0,00","R$0,00","R$0,00",NaN
15,16,24/06/1996,20,32,34,49,58,60,0,NaN,"R$0,00",31,"R$33.307,13",3250,"R$317,70","R$5.471.686,62","R$0,00","R$0,00","R$0,00",NaN
16,17,01/07/1996,6,10,13,19,20,51,1,SP,"R$6.789.869,08",144,"R$7.628,37",9376,"R$117,16","R$0,00","R$0,00","R$0,00","R$0,00",NaN
17,18,08/07/1996,23,27,36,37,42,56,0,NaN,"R$0,00",52,"R$13.763,52",4484,"R$159,61","R$858.843,48","R$0,00","R$0,00","R$0,00",NaN
18,19,15/07/1996,5,10,12,24,25,60,0,NaN,"R$0,00",159,"R$5.380,14",9250,"R$92,48","R$10.506.266,73","R$0,00","R$0,00","R$0,00",NaN
19,20,22/07/1996,11,25,28,30,33,51,0,NaN,"R$0,00",72,"R$15.486,97",5728,"R$194,67","R$11.844.340,83","R$0,00","R$0,00","R$0,00",NaN
